,1,2,3,4,5
0.0,0.3474576271186441,0.3305084745762712,0.2627118644067797,0.059322033898305086,0.0
1.0,0.3474576271186441,0.3305084745762712,0.2457627118644068,0.0423728813559322,0.03389830508474576
2.0,0.3508771929824561,0.32456140350877194,0.22807017543859648,0.03508771929824561,0.06140350877192982
3.0,0.3644859813084112,0.3177570093457944,0.2336448598130841,0.037383177570093455,0.04672897196261682
4.0,0.35,0.31,0.25,0.04,0.05
5.0,0.0,0.3684210526315789,0.30526315789473685,0.28421052631578947,0.042105263157894736
6.0,0.0,0.34444444444444444,0.26666666666666666,0.2777777777777778,0.1111111111111111
7.0,0.0,0.375,0.2625,0.25,0.1125
8.0,0.0,0.42857142857142855,0.2714285714285714,0.24285714285714285,0.05714285714285714
9.0,0.0,0.4307692307692308,0.27692307692307694,0.23076923076923078,0.06153846153846154
10.0,0.0,0.0,0.4098360655737705,0.47540983606557374,0.11475409836065574
11.0,0.0,0.0,0.4074074074074074,0.4444444444444444,0.14814814814814814
12.0,0.0,0.0,0.43478260869565216,0.4782608695652174,0.08695652173913043
13.0,0.0,0.0,0.4523809523809524,0.5,0.047619047619047616
14.0,0.0,0.0,0.4,0.4,0.2
15.0,0.0,0.0,0.0,0.8125,0.1875
16.0,0.0,0.0,0.0,0.8076923076923077,0.19230769230769232
17.0,0.0,0.0,0.0,0.75,0.25
18.0,0.0,0.0,0.0,0.7142857142857143,0.2857142857142857
19.0,0.0,0.0,0.0,1.0,0.0
20.0,0.0,0.0,0.0,0.9,0.1
21.0,0.0,0.0,0.0,1.0,0.0
22.0,0.0,0.0,0.0,0.8888888888888888,0.1111111111111111
23.0,0.0,0.0,0.0,0.7142857142857143,0.2857142857142857
24.0,0.0,0.0,0.0,1.0,0.0
25.0,0.0,0.0,0.0,1.0,0.0
26.0,0.0,0.0,0.0,1.0,0.0
27.0,0.0,0.0,0.0,0.8,0.2
28.0,0.0,0.0,0.0,0.75,0.25
29.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666
30.0,0.0,0.0,0.0,1.0,0.0
31.0,0.0,0.0,0.0,0.0,1.0
